A16_LM.UTCModJulian,A16_LM.UTCGregorian,A16_LM.Luna.Longitude,A16_LM.Luna.Latitude,A16_LM.Luna.Altitude,A16_LM.LunaFixed.PlanetodeticAZI,A16_LM.LunaFixed.PlanetodeticHFPA
11470.5688302975,02 Jun 1972 01:39:06.938,153.2868899737568,-1.28020813329776,83.3297322617052,-80.64684529039884,-3.518082844716574
11470.56918493873,02 Jun 1972 01:39:37.579,151.7089880645903,-1.019907877011324,80.21903019343949,-80.61563774876861,-3.491234217165328
11470.56957983286,02 Jun 1972 01:40:11.698,149.945957615115,-0.7281276007279186,76.77866773772257,-80.58922011346215,-3.458258363158095
11470.5699921535,02 Jun 1972 01:40:47.322,148.0982673172928,-0.4215764038490097,73.2163516939795,-80.57114897875199,-3.42036026628125
11470.57036930061,02 Jun 1972 01:41:19.908,146.401997481662,-0.1397462061370093,69.9878733994733,-80.56331554855032,-3.382615928211209
11470.57073360532,02 Jun 1972 01:41:51.383,144.7578138399323,0.1335398316278429,66.89939171585638,-80.56386591254105,-3.343299604018711
11470.57106302857,02 Jun 1972 01:42:19.846,143.2662208688582,0.3813492896836599,64.13444439722184,-80.57142219564382,-3.305166399811924
11470.57136767985,02 Jun 1972 01:42:46.168,141.8826759359257,0.6109443871042205,61.60293296224745,-80.58443317849569,-3.267616142353489
11470.57166737758,02 Jun 1972 01:43:12.061,140.5177399514191,0.8370569234103735,59.13826753995159,-80.60282823336173,-3.228635957818824
11470.57196596875,02 Jun 1972 01:43:37.860,139.1539834096984,1.062445142552901,56.70958324816638,-80.62661568002336,-3.188011572872313
11470.57225472917,02 Jun 1972 01:44:02.809,137.8314397802334,1.280390441453366,54.3876587292707,-80.65471856268586,-3.147260400805976
11470.57252129954,02 Jun 1972 01:44:25.840,136.607295381616,1.481462006490637,52.26850402944046,-80.68499013213275,-3.108512862435475
11470.57276145275,02 Jun 1972 01:44:46.590,135.5018004009239,1.662423526069982,50.38006026831818,-80.71575615844239,-3.07264972625255
11470.57298832604,02 Jun 1972 01:45:06.191,134.4551168045722,1.833152654976623,48.61469495114648,-80.74790051310529,-3.037791494974442
11470.57320982653,02 Jun 1972 01:45:25.329,133.4310463566441,1.999567818619545,46.90923878478657,-80.78224770846146,-3.002762986942457
11470.57342945216,02 Jun 1972 01:45:44.305,132.4135233810213,2.164252285420252,45.23649962591298,-80.81927399195823,-2.967014567567887
11470.57364996874,02 Jun 1972 01:46:03.357,131.3897481151297,2.329223591565237,43.57590984494391,-80.85943526807778,-2.930132987387395
11470.5738727975,02 Jun 1972 01:46:22.610,130.3530763646825,2.495476739841766,41.91779548913701,-80.90304022261466,-2.89188715933841
11470.57409276336,02 Jun 1972 01:46:41.615,129.3275941291289,2.659092768889899,40.301189324078,-80.94907699898138,-2.853175066922688
11470.57430165081,02 Jun 1972 01:46:59.663,128.351803798855,2.81395285898438,38.78513353573339,-80.99558588612129,-2.81549660739762
11470.57450009042,02 Jun 1972 01:47:16.808,127.4230581235202,2.960553875212998,37.36268460879114,-81.04230542337292,-2.778760434273437
11470.5746929722,02 Jun 1972 01:47:33.473,126.518681929317,3.102526126119567,35.99717601595376,-81.09009274414159,-2.742179214896694
